,UIID,label,xmin,xmax,ymin,ymax
0,3721.json,icon_button,3.5,45.5,24.5,66.5
1,3721.json,text_view,63.0,131.25,21.0,70.0
2,3721.json,image_view,48.25,66.75,107.75,122.75
3,3721.json,text_button,34.75,80.5,126.25,140.5
4,3721.json,name,115.5,325.0,87.5,106.5
5,3721.json,separator_line,115.5,346.0,112.0,113.75
6,3721.json,last_name,115.5,325.0,138.5,157.5
7,3721.json,separator_line,115.5,346.0,163.0,164.75
8,3721.json,username,14.0,304.0,189.5,208.5
9,3721.json,image_view,325.0,346.0,189.5,210.5
10,3721.json,separator_line,14.0,346.0,214.0,215.75
11,3721.json,email,14.0,304.0,240.5,259.5
12,3721.json,image_view,325.0,346.0,240.5,261.5
13,3721.json,separator_line,14.0,346.0,265.0,266.75
14,3721.json,password,14.0,304.0,291.5,310.5
15,3721.json,icon_button,304.0,325.0,291.5,312.5
16,3721.json,image_view,325.0,346.0,291.5,312.5
17,3721.json,separator_line,14.0,346.0,316.0,317.75
18,3721.json,date_picker,14.0,346.0,342.5,361.5
19,3721.json,separator_line,14.0,346.0,367.0,368.75
20,3721.json,phone_number,14.0,346.0,393.5,412.5
21,3721.json,separator_line,14.0,346.0,418.0,419.75
22,3721.json,sign_up,10.5,349.5,437.5,488.0
23,3721.json,tb_privacy_terms,14.0,346.0,495.0,518.75
24,40650.json,text_view,63.0,148.25,33.75,57.0
25,40650.json,icon_button,0.0,49.0,21.0,70.0
26,40650.json,search_button,286.5,307.5,35.0,56.0
27,40650.json,cart_icon_button,328.5,349.5,34.75,53.25
28,40650.json,text_view,14.0,346.0,84.0,98.25
29,40650.json,image_view,37.5,142.5,126.25,231.25
30,40650.json,text_view,10.5,169.5,234.75,246.5
31,40650.json,text_view,10.5,169.5,246.5,289.25
32,40650.json,price,10.5,57.25,306.25,327.0
33,40650.json,price,10.5,57.25,327.0,347.75
34,40650.json,text_view,57.25,133.25,334.0,345.75
35,40650.json,cart_add,13.333333333333332,170.0,445.6666666666667,484.3333333333333
36,40650.json,image_view,217.5,322.5,126.25,231.25
37,40650.json,text_view,190.5,349.5,234.75,246.5
38,40650.json,text_view,190.5,349.5,246.5,289.25
39,40650.json,price_s,190.5,217.75,294.5,306.25
40,40650.json,price,190.5,237.25,306.25,327.0
41,40650.json,price,190.5,237.25,327.0,347.75
42,40650.json,text_view,237.25,313.25,334.0,345.75
43,40650.json,text_button,190.5,345.75,445.5,483.25
44,40650.json,image_view,37.5,142.5,507.0,598.0
45,40650.json,image_view,217.5,322.5,507.0,598.0
46,40650.json,icon_button,297.0,346.0,535.0,584.0
47,40650.json,card,2.0,177.33333333333334,113.0,489.6666666666667
48,40650.json,card,182.0,357.33333333333326,113.66666666666669,490.33333333333337
49,40650.json,card_partial,4.0000000000000195,178.66666666666669,490.3333333333333,598.3333333333334
50,40650.json,card_partial,182.00000000000003,356.6666666666667,490.99999999999994,599.0
51,12970.json,image_view,13.25,109.0,28.25,54.5
